ID,SOURCE_PKEY,BUSINESS_ID,PROJECT_CODE_CD,PROJECT_RESPONSIBLE,PROJECT_ORGANIZATION_TYPE,PROJECT_TYPE,PROJECT_SUBTYPE,PROJECT_NAME_NM,PROJECT_DESCRIPTION_DESC,PROJECT_CATEGORY,PROJECT_STATUS,PROJECT_STATUS_DETAILED,PROJECT_PHASE,MECHANISM_OF_ACTION,ACTIVE_SUBSTANCE_TYPE,ACTIVE_SUBSTANCE_SUB_TYPE,ORIGIN_OF_ACTIVE_SUBSTANCE,ORIGIN_COMPANY_OF_ACTIVE_SUBSTANCE,EXTERNAL_ACTIVE_SUBSTANCE_CODE,DATE_OF_AGREEMENT,BRAND_NAME_NM,INN,RA_CODE,ADDITIONAL_PROJECT_INFORMATION,RESEARCH_PROJECT_TARGET,RW_CLUSTER,SCREENING_ORIENTATION,SCREEN_TYPE,TARGET_RATIONALE,PROJECT_GLOBAL_OBJECTIVE,SOURCE_SYSTEM,CREATIONDATE_DT,LASTUPDATEDATE_DT,CREATEDBY,UPDATEDBY,SOURCE_OF_ORIGIN,STATE
4909,67236117f877cd45d635e3b6,OTH0000000006F,DSK_OTHER_O_U51,U51,OTHER,Customer,External Customer,,DSK_OTHER_O_U51,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:02.000,2024-11-26 08:39:26.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4910,67236117f877cd45d635e3bf,OTH0000000006O,EC000011,U61,OTHER,Multi-Project,Multi-Project External Collaboration,,Develop microcapsule-based screening assay for in vitro CYP induction (mRNA) using human hepatocyte,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:02.000,2024-11-26 08:39:28.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4911,67236117f877cd45d635e3c1,OTH0000000006Q,EC000023,U44,OTHER,Multi-Project,Multi-Project External Collaboration,,Parkinson Progression Markers Initiative (PPMI),R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:02.000,2024-11-26 08:38:31.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4912,67236117f877cd45d635e3c4,OTH0000000006T,EC000033,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-MGH_SRA(Rosenzweig)_Target Validation of SGK1 for the treatment of Long QT Syndrome,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:02.000,2024-11-26 08:39:28.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4913,67236117f877cd45d635e3c5,OTH0000000006U,EC000034,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-MGH_SRA(Conroy)_Glycoregulation of Allergic Inflammation                    ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:02.000,2024-11-26 08:38:53.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4914,67236117f877cd45d635e3c7,OTH0000000006W,EC000037,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-UTEXAS_SRA(Choi)_Characterization of alphavirus nsP1,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:02.000,2024-11-26 08:39:14.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4915,67236117f877cd45d635e3c8,OTH0000000006X,EC000038,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-UTEXAS_SRA(Davies)_High Throughput Antimicrobial Discovery for Infection and Remodeling the M,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:02.000,2024-11-26 08:38:42.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4916,67236117f877cd45d635e52c,OTH0000000006Z,EC000043,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-JHU_SRA(Haughey)_Serum and CSF lipid biomarkers for Multiple Sclerosis,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:55.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4917,67236117f877cd45d635e52f,OTH00000000072,EC000048,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-CORNELL_SRA(Luo)_Searching for small molecules promoting tau clearance by microglia,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:01.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4918,67236117f877cd45d635e530,OTH00000000073,EC000050,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-COLUMBIA_SRA(Monani)_A gene replacement strategy for the treatment of Glut1 deficiency syndro,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:30.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4919,67236117f877cd45d635e531,OTH00000000074,EC000051,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-COLUMBIA_SRA(Petrukhin)_Advanced RBP4 antagonist as a disease modifying agent for diabetic re,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:46.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4920,67236117f877cd45d635e532,OTH00000000075,EC000052,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,iAward-JHU_SRA(Slusher)_Targeting PSMA in treatment of IBD,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:32.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4921,67236117f877cd45d635e533,OTH00000000076,EC000054,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,Collaboration with Yale University Dr. Herzog IL13Ra2,D,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:06.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4922,67236117f877cd45d635e534,OTH00000000077,EC000057,U45,OTHER,Multi-Project,Multi-Project External Collaboration,,BPRC Anti-LSECtin mAb (Blocking),R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:31.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4923,67236117f877cd45d635e535,OTH00000000078,EC000061,U62,OTHER,Multi-Project,Multi-Project External Collaboration,, Identifying the Optimal Pharmacokinetic Profile for a Prandial Insulin,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:28.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4924,67236117f877cd45d635e536,OTH00000000079,EC000062,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,Duke Translational Research Institute - Master Research Agreement,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:11.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4925,67236117f877cd45d635e537,OTH0000000007A,EC000064,U23,OTHER,Multi-Project,Multi-Project External Collaboration,,CONTRAT CIFRE Evaluation of Lipin-1 deficient rodents as translational models in diabetes,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:08.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4926,67236117f877cd45d635e539,OTH0000000007C,EC000068,U45,OTHER,Multi-Project,Multi-Project External Collaboration,,CAR-T platform (SNU),R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:16.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4927,67236117f877cd45d635e53a,OTH0000000007D,EC000069,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,MC38-OVA,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:32.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4928,67236117f877cd45d635e53e,OTH0000000007H,EC000075,U32,OTHER,Multi-Project,Multi-Project External Collaboration,,Effects of nicotinamide and 1-MNT on tissue specific effects of insulin (as Investigator Sponsored T,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:30.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4929,67236117f877cd45d635e542,OTH0000000007L,EC000082,U23,OTHER,Multi-Project,Multi-Project External Collaboration,,PreciNASH RHU-ANR Consortium ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:10.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4930,67236117f877cd45d635e543,OTH0000000007M,EC000085,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,Institut Curie - Contrat CIFRE J Ecard,D,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:20.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4931,67236117f877cd45d635e544,OTH0000000007N,EC000088,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,NCE_Leland Stanford Junior University_Amend 3,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:16.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4932,67236117f877cd45d635e54b,OTH0000000007U,EC000100,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,MIT_Ram_Amend 8_NCE,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:11.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4933,67236117f877cd45d635e54d,OTH0000000007W,EC000106,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,UPENN_Amendment to iAward Program Agreement,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:46.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4934,67236117f877cd45d635e54f,OTH0000000007Y,EC000109,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,JHU_Amendment to iAward Program Agreement,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:20.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4935,67236117f877cd45d635e550,OTH0000000007Z,EC000111,U11,OTHER,Multi-Project,Multi-Project External Collaboration,,Multiple sclerosis/Neuroimmunology Research,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:19.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4936,67236117f877cd45d635e551,OTH00000000080,EC000112,U11,OTHER,Multi-Project,Multi-Project External Collaboration,,Multiple sclerosis/Neuroimmunology Research,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:24.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4937,67236117f877cd45d635e552,OTH00000000081,EC000115,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,Hitgen ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:42.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4938,67236117f877cd45d635e554,OTH00000000083,EC000121,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,"anti-CA6, anti-CEACMA5 and anti-LAMP1 ADCs",R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:34.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4939,67236117f877cd45d635e556,OTH00000000085,EC000126,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,Radiolabelled Anti CD 38 antibody with Iode 123 in Myeloma,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:24.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4940,67236117f877cd45d635e558,OTH00000000087,EC000128,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,Charite_Amend Coop Agrmt addMax Delbrück Center for Molecular Medicine ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:39:04.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4941,67236117f877cd45d635e55b,OTH0000000008A,EC000135,U44,OTHER,Multi-Project,Multi-Project External Collaboration,,Identify markers for AD patient stratification and novel therapeutic pathways,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:03.000,2024-11-26 08:38:26.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4942,67236118f877cd45d635e6bf,OTH0000000008C,EC000138,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,UNIV.WASH,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:00.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4943,67236118f877cd45d635e6c1,OTH0000000008E,EC000142,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,National Cancer Institute,D,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:53.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4944,67236118f877cd45d635e6c4,OTH0000000008H,EC000147,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,Hairpin Technologies Inc_License_shRNA ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:19.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4945,67236118f877cd45d635e6c5,OTH0000000008I,EC000149,U23,OTHER,Multi-Project,Multi-Project External Collaboration,,Immunosurveillance of Adipose tissue senescence,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:26.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4946,67236118f877cd45d635e6c6,OTH0000000008J,EC000153,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,Evaluation of Retinal Degeneration in P23H RHO Mice ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:10.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4947,67236118f877cd45d635e6c7,OTH0000000008K,EC000154,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,Evaluate miRNAs specific to the human Dux4 mRNA transcript which are causative for facioscapulohumer,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:43.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4948,67236118f877cd45d635e6c8,OTH0000000008L,EC000155,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,Evaluation of effects of GBA activators in IPSC- Derived Neurons from PD patients carrying GBA muta ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:55.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4949,67236118f877cd45d635e6c9,OTH0000000008M,EC000156,U42,OTHER,Multi-Project,Multi-Project External Collaboration,,REALISM collaboration ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:51.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4950,67236118f877cd45d635e6cb,OTH0000000008O,EC000161,U31,OTHER,Multi-Project,Multi-Project External Collaboration,,KES-0001 evaluation,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:08.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4951,67236118f877cd45d635e6cc,OTH0000000008P,EC000163,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,HPC4  Tech for Purification for HPC4 tagged recombinant proteins,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:28.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4952,67236118f877cd45d635e6cd,OTH0000000008Q,EC000167,U62,OTHER,Multi-Project,Multi-Project External Collaboration,,Novel approaches in ligandability assessment for challenging medically relevant targets,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:27.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4953,67236118f877cd45d635e6ce,OTH0000000008R,EC000169,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,LIC_GVK Biosciences_2016_RPomponio,D,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:01.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4954,67236118f877cd45d635e6d0,OTH0000000008T,EC000171,U46,OTHER,Multi-Project,Multi-Project External Collaboration,,CIFRE collaboration 2016 with Institut Curie,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:13.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4955,67236118f877cd45d635e6d1,OTH0000000008U,EC000172,U61,OTHER,Multi-Project,Multi-Project External Collaboration,,Improv. of existing 3D-culture method for human hepatocytes in alginate microcapsules(dev'd w/ESPCI),R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:08.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4956,67236118f877cd45d635e6d2,OTH0000000008V,EC000176,U62,OTHER,Multi-Project,Multi-Project External Collaboration,,CIFRE-Thesis : Doubles émulsions et microparticules microfluidiques pour l'encapsulation de principe,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:59.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4957,67236118f877cd45d635e6d5,OTH0000000008Y,EC000181,EB,OTHER,Multi-Project,Multi-Project External Collaboration,,POSTDOC Collaboration with ESPCI Paris ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:05.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4958,67236118f877cd45d635e6d8,OTH00000000091,EC000189,U46,OTHER,Multi-Project,Multi-Project External Collaboration,,Humanized Chicken platform Evaluation for human mAb generation ,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:18.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4959,67236118f877cd45d635e6db,OTH00000000094,EC000194,CG,OTHER,Multi-Project,Multi-Project External Collaboration,,Amendment 3 to SRA identification of a pair of monoclonal antibodies for development of a combinatio,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:24.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4960,67236118f877cd45d635e6dc,OTH00000000095,EC000196,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,SRA_BCM_GeneTherapy for SMS,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:02.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4961,67236118f877cd45d635e6dd,OTH00000000096,EC000198,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,MIT_NCE_Amend 9 to BIFA_Ram_High-Throughput Tools,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:50.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4962,67236118f877cd45d635e6de,OTH00000000097,EC000199,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,Hydrodynamic Tail and Limb License,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:14.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4963,67236118f877cd45d635e6e0,OTH00000000099,EC000201,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,Asterand Amendment to MTA,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:17.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4964,67236118f877cd45d635e6e1,OTH0000000009A,EC000204,U15,OTHER,Multi-Project,Multi-Project External Collaboration,,MGH_CATCH_Amend 1 to Collaboration,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:27.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4965,67236118f877cd45d635e6e2,OTH0000000009B,EC000205,BD,OTHER,Multi-Project,Multi-Project External Collaboration,,Due Diligence Visit to University of Arizona,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:20.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4966,67236118f877cd45d635e6e4,OTH0000000009D,EC000209,CJ,OTHER,Multi-Project,Multi-Project External Collaboration,,LicAmendment_U of MD Baltimore_OI_2016_BGreene,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:49.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4967,67236118f877cd45d635e6e6,OTH0000000009F,EC000213,U32,OTHER,Multi-Project,Multi-Project External Collaboration,,In vivo profiling of Ulster apelin-peptides,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:25.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4968,67236118f877cd45d635e6e7,OTH0000000009G,EC000214,U48,OTHER,Multi-Project,Multi-Project External Collaboration,,BWH Amendment_A222469_MS_AEdling,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:41.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4969,67236118f877cd45d635e6eb,OTH0000000009K,EC000219,U63,OTHER,Multi-Project,Multi-Project External Collaboration,,Beta Testing Evaluation of MassLynx Version 4.1 Software Change Note #966.,D,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:50.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4970,67236118f877cd45d635e6ec,OTH0000000009L,EC000221,BD,OTHER,Multi-Project,Multi-Project External Collaboration,,Prolongation of license of human pancreatic ß-cell line Endoc-ßH1,R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:38:46.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4971,67236118f877cd45d635e6ee,OTH0000000009N,EC000224,BD,OTHER,Multi-Project,Multi-Project External Collaboration,,"CDA with Dieter Egli, New York Stem Cell Foundation",R,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:04.000,2024-11-26 08:39:16.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
4972,6723611af877cd45d635eb9d,OTH000000000DG,E_DSAR_INTERCONTINENTAL_MP,,OTHER,Customer,External Customer,,External file for DSAR - Intercontinental Mature Product,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:15.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
